issuing_bank_name,issuing_bank_address,issuing_bank_swift,issuing_bank_tel,issuing_bank_account_number,issuing_bank_account_name,issuing_bank_officer,issuing_bank_officer_contact,confirming_bank_name,confirming_bank_address,confirming_bank_swift,confirming_bank_tel,confirming_bank_account_number,confirming_bank_account_name,confirming_bank_officer,confirming_bank_officer_contact,buyer_signatory_name,buyer_signatory_position,buyer_signatory_date,buyer_signature,seller_signatory_name,seller_signatory_position,seller_signatory_date,seller_signature
EuroCommerce Bank AG,"191 Finance Ave, Istanbul, UAE",EUROGBXX,+295-4677598,63127633,Maria Diop,James Khan,+44-322913392,Singapore Intercontinental Bank,"37 Trade Tower, Mumbai, UAE",SINGUSXX,+194-9621310,57849205,George Singh,Michael Lee,+1-318746428,Maria Diop,Trade Director,2025-05-14,Signed Electronically,George Singh,Managing Director,2025-05-16,Signed Electronically
BNP Paribas,"107 Finance Ave, Rotterdam, Germany",BNPUSXX,+158-9094599,39991208,Carlos Martinez,George Costa,+44-127660858,Singapore Intercontinental Bank,"177 Trade Tower, Hong Kong, Singapore",SINGUSXX,+893-6132330,53473589,Linda Muller,Ali Smith,+65-439703271,Carlos Martinez,Procurement Manager,2025-02-18,Signed Electronically,Linda Muller,Export Manager,2025-02-23,Signed Electronically
HSBC,"194 Finance Ave, Tokyo, China",HSBCSGXX,+583-1982424,29998978,Yuki Costa,John Khan,+65-260594701,BNP Paribas,"147 Trade Tower, Dubai, Netherlands",BNPGBXX,+328-2006937,68978688,Nadia Williams,Omar Williams,+44-384406371,Yuki Costa,CEO,2025-03-05,Signed Electronically,Nadia Williams,Export Manager,2025-03-10,Signed Electronically
Deutsche Bank,"100 Finance Ave, Rotterdam, Netherlands",DEUTDEXX,+626-2162410,17259118,Carlos Fernandez,Linda Diop,+65-954963879,Deutsche Bank,"145 Trade Tower, Mumbai, India",DEUTUSXX,+380-9051189,92070740,Yuki Brown,Emma Martinez,+44-205048213,Carlos Fernandez,Managing Partner,2025-04-21,Signed Electronically,Yuki Brown,Managing Director,2025-04-26,Signed Electronically
HSBC,"23 Finance Ave, Cairo, Turkey",HSBCUSXX,+129-9645569,59092996,Michael Lee,John Muller,+65-426424998,Deutsche Bank,"79 Trade Tower, Singapore, Netherlands",DEUTSGXX,+811-8097557,78778893,Carlos Smith,Nadia Khan,+65-697223395,Michael Lee,Managing Partner,2025-09-18,Signed Electronically,Carlos Smith,Managing Director,2025-09-23,Signed Electronically
EuroCommerce Bank AG,"107 Finance Ave, New York, Switzerland",EUROGBXX,+124-9436185,20625042,Nadia Silva,James Fernandez,+1-414425612,Emirates National Bank,"125 Trade Tower, Istanbul, USA",EMIRUSXX,+781-3091358,84906937,Carlos Muller,Omar Williams,+44-961298854,Nadia Silva,Managing Partner,2025-05-31,Signed Electronically,Carlos Muller,Export Manager,2025-06-01,Signed Electronically
Standard Chartered,"132 Finance Ave, Cairo, Qatar",STANSGXX,+375-4699610,82509527,James Ivanov,George Brown,+1-668652732,BNP Paribas,"194 Trade Tower, Singapore, India",BNPDEXX,+269-9638944,88714745,Maria Garcia,Carlos Haddad,+65-932905939,James Ivanov,Procurement Manager,2024-11-17,Signed Electronically,Maria Garcia,Managing Director,2024-11-21,Signed Electronically
Singapore Intercontinental Bank,"107 Finance Ave, Hamburg, China",SINGSGXX,+720-8807752,92461694,Ali Khan,Laura Ibrahim,+1-394388423,First Global Bank & Trust,"118 Trade Tower, Geneva, Turkey",FIRSUSXX,+524-9456600,30666212,Nadia Ibrahim,Laura Haddad,+1-135165458,Ali Khan,CEO,2025-01-30,Signed Electronically,Nadia Ibrahim,Sales Director,2025-02-03,Signed Electronically
Citibank,"147 Finance Ave, London, Qatar",CITIUSXX,+395-2886157,74713581,Emma Chen,Yuki Smith,+44-590901962,Deutsche Bank,"69 Trade Tower, Dubai, UAE",DEUTUSXX,+968-9709232,13680954,Michael Johnson,Sarah Silva,+44-811032755,Emma Chen,Procurement Manager,2025-09-23,Signed Electronically,Michael Johnson,Export Manager,2025-09-27,Signed Electronically
BNP Paribas,"18 Finance Ave, Singapore, Singapore",BNPUSXX,+988-1869570,38883626,Omar Haddad,Nadia Costa,+44-704761773,HSBC,"110 Trade Tower, Hong Kong, Singapore",HSBCSGXX,+749-3555077,42314435,Ravi Haddad,Linda Petrov,+65-531330221,Omar Haddad,Procurement Manager,2024-11-03,Signed Electronically,Ravi Haddad,Export Manager,2024-11-05,Signed Electronically
Emirates National Bank,"123 Finance Ave, Hong Kong, Netherlands",EMIRDEXX,+216-3126164,95289822,Ahmed Garcia,Maria Chen,+1-160770674,Union Credit Suisse,"85 Trade Tower, London, UAE",UNIOUSXX,+288-5842799,26156613,Emma Haddad,Nadia Costa,+44-942738815,Ahmed Garcia,CEO,2025-05-13,Signed Electronically,Emma Haddad,Sales Director,2025-05-17,Signed Electronically
Emirates National Bank,"34 Finance Ave, Houston, Japan",EMIRSGXX,+948-9858877,10958749,Yuki Ivanov,Ravi Khan,+44-504504425,Singapore Intercontinental Bank,"42 Trade Tower, New York, UAE",SINGAEXX,+694-1777451,15507646,David Diop,Ali Ibrahim,+65-571794058,Yuki Ivanov,Managing Partner,2024-11-23,Signed Electronically,David Diop,Managing Director,2024-11-27,Signed Electronically
First Global Bank & Trust,"25 Finance Ave, Hong Kong, UAE",FIRSDEXX,+747-6781054,82937130,Linda Costa,Ahmed Muller,+971-864538107,EuroCommerce Bank AG,"63 Trade Tower, Hamburg, UAE",EUROGBXX,+471-8208320,73855486,Emma Garcia,James Ibrahim,+1-710844048,Linda Costa,CEO,2025-09-21,Signed Electronically,Emma Garcia,Sales Director,2025-09-24,Signed Electronically
EuroCommerce Bank AG,"27 Finance Ave, Mumbai, India",EUROSGXX,+979-8066874,18382485,Maria Muller,Sophia Singh,+1-207508704,Singapore Intercontinental Bank,"126 Trade Tower, Tokyo, Japan",SINGSGXX,+714-6846057,94297077,Ali Costa,Ali Martinez,+44-147422750,Maria Muller,Procurement Manager,2025-10-23,Signed Electronically,Ali Costa,Export Manager,2025-10-25,Signed Electronically
EuroCommerce Bank AG,"53 Finance Ave, Abu Dhabi, USA",EUROAEXX,+624-2378918,30292075,Hassan Ivanov,David Lee,+44-525888109,EuroCommerce Bank AG,"177 Trade Tower, Hong Kong, Switzerland",EUROGBXX,+740-1324171,29025617,Hassan Petrov,Fatima Fernandez,+65-465364940,Hassan Ivanov,CEO,2025-01-16,Signed Electronically,Hassan Petrov,Sales Director,2025-01-21,Signed Electronically
Union Credit Suisse,"46 Finance Ave, Doha, Singapore",UNIOSGXX,+841-1892094,22515973,David Chen,James Costa,+65-484290572,First Global Bank & Trust,"116 Trade Tower, New York, UK",FIRSDEXX,+463-6603721,39903990,George Singh,Linda Garcia,+1-946662902,David Chen,CEO,2025-02-20,Signed Electronically,George Singh,Export Manager,2025-02-23,Signed Electronically
HSBC,"106 Finance Ave, Rotterdam, Japan",HSBCSGXX,+527-9531300,85514447,George Lee,David Silva,+1-822117112,Deutsche Bank,"94 Trade Tower, Singapore, Switzerland",DEUTUSXX,+702-5064367,91260601,Ahmed Petrov,Michael Brown,+971-295579777,George Lee,Procurement Manager,2025-04-13,Signed Electronically,Ahmed Petrov,Managing Director,2025-04-18,Signed Electronically
EuroCommerce Bank AG,"170 Finance Ave, Dubai, China",EUROUSXX,+715-7325303,66142121,Maria Nakamura,Hassan Lee,+44-163258399,Emirates National Bank,"141 Trade Tower, Mumbai, UAE",EMIRGBXX,+991-4460703,15096010,Ravi Ibrahim,James Lee,+1-384985959,Maria Nakamura,CEO,2025-01-05,Signed Electronically,Ravi Ibrahim,Sales Director,2025-01-10,Signed Electronically
First Global Bank & Trust,"178 Finance Ave, Hong Kong, India",FIRSAEXX,+173-2746935,88745084,Emma Garcia,Omar Petrov,+971-858520898,Union Credit Suisse,"197 Trade Tower, London, UAE",UNIOAEXX,+937-7524593,64194385,Emma Johnson,Laura Khan,+1-910120615,Emma Garcia,Procurement Manager,2025-07-23,Signed Electronically,Emma Johnson,Managing Director,2025-07-27,Signed Electronically
HSBC,"103 Finance Ave, Hong Kong, Singapore",HSBCGBXX,+930-5465398,41221525,Hassan Nakamura,Emma Petrov,+971-695807563,Standard Chartered,"146 Trade Tower, Cairo, USA",STANUSXX,+585-9113345,26994688,Yuki Haddad,Laura Johnson,+971-464505376,Hassan Nakamura,CEO,2025-04-09,Signed Electronically,Yuki Haddad,Managing Director,2025-04-14,Signed Electronically
Citibank,"178 Finance Ave, Dubai, Switzerland",CITIGBXX,+850-5548802,91473491,Linda Singh,Carlos Muller,+65-512085527,EuroCommerce Bank AG,"70 Trade Tower, Istanbul, Germany",EUROAEXX,+845-3523471,87736608,Maria Nakamura,Maria Ibrahim,+971-958376934,Linda Singh,Managing Partner,2025-03-05,Signed Electronically,Maria Nakamura,Managing Director,2025-03-10,Signed Electronically
EuroCommerce Bank AG,"160 Finance Ave, Istanbul, Japan",EUROAEXX,+884-5550860,11189607,Ali Chen,Hassan Silva,+44-572303194,BNP Paribas,"98 Trade Tower, Mumbai, Japan",BNPUSXX,+983-2152797,18906464,Hassan Johnson,Hassan Diop,+971-249300913,Ali Chen,CEO,2025-08-07,Signed Electronically,Hassan Johnson,Managing Director,2025-08-10,Signed Electronically
Standard Chartered,"147 Finance Ave, Houston, UAE",STANAEXX,+738-2028760,32668118,John Petrov,George Silva,+1-759181203,EuroCommerce Bank AG,"29 Trade Tower, Tokyo, UK",EUROSGXX,+910-9691908,62613215,Emma Nakamura,Ahmed Chen,+65-217153664,John Petrov,Managing Partner,2025-04-04,Signed Electronically,Emma Nakamura,Sales Director,2025-04-07,Signed Electronically
First Global Bank & Trust,"97 Finance Ave, Hong Kong, Egypt",FIRSSGXX,+867-5724499,28598330,Carlos Chen,Carlos Khan,+1-777961751,BNP Paribas,"149 Trade Tower, Istanbul, India",BNPUSXX,+294-3316204,76231848,Maria Smith,Michael Petrov,+44-540580971,Carlos Chen,Procurement Manager,2025-10-10,Signed Electronically,Maria Smith,Sales Director,2025-10-12,Signed Electronically
BNP Paribas,"76 Finance Ave, Geneva, Germany",BNPGBXX,+191-8008410,39173413,Laura Garcia,George Ibrahim,+44-128897558,First Global Bank & Trust,"179 Trade Tower, Hamburg, Singapore",FIRSUSXX,+690-2679111,76937790,Sarah Martinez,Hassan Garcia,+65-121467439,Laura Garcia,Managing Partner,2025-03-17,Signed Electronically,Sarah Martinez,Managing Director,2025-03-22,Signed Electronically
EuroCommerce Bank AG,"172 Finance Ave, Rotterdam, Germany",EURODEXX,+649-8277703,11226589,John Muller,Hassan Lee,+44-560156418,HSBC,"104 Trade Tower, Mumbai, Germany",HSBCDEXX,+866-4564209,40152606,Ravi Chen,Ahmed Ibrahim,+971-836071525,John Muller,Managing Partner,2025-05-26,Signed Electronically,Ravi Chen,Export Manager,2025-05-29,Signed Electronically
Standard Chartered,"163 Finance Ave, Geneva, Netherlands",STANUSXX,+406-8793279,89837923,George Diop,Laura Costa,+65-752477988,Emirates National Bank,"147 Trade Tower, Rotterdam, UAE",EMIRUSXX,+911-1083072,58490385,Nadia Smith,Emma Petrov,+44-230953662,George Diop,Managing Partner,2025-06-06,Signed Electronically,Nadia Smith,Managing Director,2025-06-07,Signed Electronically
Citibank,"136 Finance Ave, Geneva, USA",CITIGBXX,+859-9060367,53081206,Emma Martinez,Linda Silva,+65-623604965,Deutsche Bank,"49 Trade Tower, Rotterdam, Qatar",DEUTSGXX,+146-1300295,49632820,Michael Haddad,Yuki Martinez,+971-696547478,Emma Martinez,Procurement Manager,2025-04-10,Signed Electronically,Michael Haddad,Managing Director,2025-04-14,Signed Electronically
Deutsche Bank,"146 Finance Ave, Geneva, UAE",DEUTGBXX,+677-9398342,35122855,Yuki Brown,Michael Fernandez,+65-428138970,HSBC,"16 Trade Tower, Cairo, Switzerland",HSBCAEXX,+854-9607299,72214091,Ahmed Williams,Carlos Singh,+44-518644515,Yuki Brown,Procurement Manager,2025-08-02,Signed Electronically,Ahmed Williams,Managing Director,2025-08-06,Signed Electronically
Singapore Intercontinental Bank,"135 Finance Ave, London, Egypt",SINGDEXX,+930-3349060,80337034,Sarah Lee,John Haddad,+971-992361573,Singapore Intercontinental Bank,"171 Trade Tower, London, Switzerland",SINGSGXX,+989-2262985,19401122,Sophia Johnson,Sarah Garcia,+1-326153069,Sarah Lee,CEO,2025-05-18,Signed Electronically,Sophia Johnson,Export Manager,2025-05-20,Signed Electronically
First Global Bank & Trust,"57 Finance Ave, Houston, Turkey",FIRSGBXX,+306-6063087,23895531,Hassan Diop,David Nakamura,+1-795423102,HSBC,"46 Trade Tower, Geneva, Turkey",HSBCGBXX,+428-8230924,47668282,George Williams,Michael Muller,+44-235724770,Hassan Diop,Managing Partner,2025-06-05,Signed Electronically,George Williams,Export Manager,2025-06-10,Signed Electronically
Citibank,"11 Finance Ave, Doha, Switzerland",CITIAEXX,+194-5682682,16280465,Sarah Johnson,George Garcia,+65-207999651,BNP Paribas,"118 Trade Tower, Hamburg, Turkey",BNPDEXX,+115-4539948,77958019,Fatima Martinez,David Costa,+1-296133823,Sarah Johnson,Trade Director,2025-03-08,Signed Electronically,Fatima Martinez,Export Manager,2025-03-09,Signed Electronically
Deutsche Bank,"161 Finance Ave, London, UK",DEUTGBXX,+194-6855253,51130556,Omar Ivanov,David Martinez,+65-594212109,Deutsche Bank,"169 Trade Tower, Hong Kong, Japan",DEUTSGXX,+367-3372055,95086395,Nadia Diop,Omar Martinez,+44-289772690,Omar Ivanov,CEO,2025-04-03,Signed Electronically,Nadia Diop,Managing Director,2025-04-04,Signed Electronically
Citibank,"145 Finance Ave, Rotterdam, USA",CITIDEXX,+828-9186392,91680833,Linda Brown,Emma Diop,+1-339980952,Standard Chartered,"194 Trade Tower, Dubai, Qatar",STANGBXX,+978-8858560,15894471,Carlos Fernandez,George Haddad,+44-212348189,Linda Brown,Trade Director,2025-01-01,Signed Electronically,Carlos Fernandez,Export Manager,2025-01-06,Signed Electronically
Standard Chartered,"143 Finance Ave, Mumbai, Qatar",STANGBXX,+492-4906997,26263242,Michael Johnson,Nadia Garcia,+65-948773256,Deutsche Bank,"123 Trade Tower, Dubai, Japan",DEUTSGXX,+635-9196220,87304586,Linda Silva,James Johnson,+1-213274932,Michael Johnson,Trade Director,2025-08-25,Signed Electronically,Linda Silva,Managing Director,2025-08-30,Signed Electronically
Standard Chartered,"140 Finance Ave, Singapore, Germany",STANSGXX,+167-4986163,32769389,Sarah Silva,Maria Smith,+44-705506726,Union Credit Suisse,"165 Trade Tower, Hong Kong, China",UNIOGBXX,+370-3695655,29436603,Ahmed Williams,George Muller,+971-297408915,Sarah Silva,Managing Partner,2025-06-17,Signed Electronically,Ahmed Williams,Managing Director,2025-06-19,Signed Electronically
EuroCommerce Bank AG,"98 Finance Ave, Istanbul, UAE",EUROSGXX,+677-2963569,45693206,Omar Costa,Carlos Brown,+65-134015338,First Global Bank & Trust,"57 Trade Tower, Cairo, Netherlands",FIRSAEXX,+941-6837976,70482581,John Haddad,David Johnson,+971-305373676,Omar Costa,CEO,2025-10-09,Signed Electronically,John Haddad,Sales Director,2025-10-11,Signed Electronically
Emirates National Bank,"34 Finance Ave, Geneva, UAE",EMIRSGXX,+354-3649605,46832330,Sophia Singh,Sophia Ivanov,+44-317638067,First Global Bank & Trust,"67 Trade Tower, Istanbul, Turkey",FIRSDEXX,+614-3147567,33077157,Sarah Smith,Michael Chen,+65-658080555,Sophia Singh,Managing Partner,2024-11-22,Signed Electronically,Sarah Smith,Export Manager,2024-11-27,Signed Electronically
Emirates National Bank,"24 Finance Ave, Doha, Singapore",EMIRGBXX,+610-6472824,53939802,John Williams,James Silva,+65-727008908,Citibank,"146 Trade Tower, London, UAE",CITISGXX,+894-2481362,17350943,Ahmed Haddad,Fatima Martinez,+1-140295539,John Williams,Managing Partner,2025-08-12,Signed Electronically,Ahmed Haddad,Sales Director,2025-08-13,Signed Electronically
EuroCommerce Bank AG,"198 Finance Ave, London, Egypt",EUROSGXX,+539-8176539,93844444,Linda Ibrahim,James Chen,+44-955246780,HSBC,"145 Trade Tower, Hamburg, Japan",HSBCDEXX,+296-5468473,75316114,Ali Silva,Ravi Lee,+971-792515931,Linda Ibrahim,Procurement Manager,2025-09-25,Signed Electronically,Ali Silva,Export Manager,2025-09-27,Signed Electronically
Deutsche Bank,"158 Finance Ave, Hong Kong, China",DEUTGBXX,+674-1733693,40659256,Emma Petrov,Ahmed Lee,+971-366768462,Standard Chartered,"170 Trade Tower, Cairo, Egypt",STANUSXX,+616-9149401,83141576,Ali Ibrahim,Ahmed Khan,+1-894875232,Emma Petrov,Procurement Manager,2025-02-15,Signed Electronically,Ali Ibrahim,Export Manager,2025-02-19,Signed Electronically
Deutsche Bank,"74 Finance Ave, Hong Kong, USA",DEUTAEXX,+879-1787983,48429369,Omar Johnson,Ahmed Costa,+44-181499952,Union Credit Suisse,"15 Trade Tower, Tokyo, Qatar",UNIOUSXX,+430-7446645,47060672,Ahmed Brown,Linda Nakamura,+65-878950256,Omar Johnson,CEO,2025-06-18,Signed Electronically,Ahmed Brown,Managing Director,2025-06-23,Signed Electronically
Standard Chartered,"64 Finance Ave, Hamburg, UAE",STANDEXX,+894-1668459,99366855,Hassan Ivanov,Ravi Nakamura,+971-992319983,Emirates National Bank,"172 Trade Tower, Houston, Qatar",EMIRGBXX,+880-4564911,74137354,Emma Smith,John Muller,+44-355709483,Hassan Ivanov,Procurement Manager,2024-11-27,Signed Electronically,Emma Smith,Sales Director,2024-11-28,Signed Electronically
BNP Paribas,"70 Finance Ave, Cairo, USA",BNPGBXX,+654-3765422,26398988,Sophia Ibrahim,Hassan Smith,+65-255475692,Citibank,"36 Trade Tower, Geneva, Germany",CITIGBXX,+310-9753517,55338254,Yuki Brown,James Fernandez,+1-458905670,Sophia Ibrahim,Managing Partner,2025-05-02,Signed Electronically,Yuki Brown,Sales Director,2025-05-05,Signed Electronically
First Global Bank & Trust,"68 Finance Ave, Tokyo, Turkey",FIRSDEXX,+350-8062983,82721225,John Petrov,Ravi Lee,+44-312123665,Deutsche Bank,"142 Trade Tower, London, Singapore",DEUTSGXX,+113-4813265,83740566,Ahmed Fernandez,Sophia Diop,+1-685724956,John Petrov,CEO,2025-02-16,Signed Electronically,Ahmed Fernandez,Sales Director,2025-02-19,Signed Electronically
Deutsche Bank,"143 Finance Ave, Rotterdam, Singapore",DEUTSGXX,+336-7674969,66433274,James Fernandez,Ravi Diop,+971-752161162,Citibank,"54 Trade Tower, Abu Dhabi, Switzerland",CITIDEXX,+595-1293916,44930398,Fatima Garcia,David Chen,+44-388894520,James Fernandez,Procurement Manager,2024-12-15,Signed Electronically,Fatima Garcia,Sales Director,2024-12-16,Signed Electronically
Citibank,"101 Finance Ave, Houston, UAE",CITIAEXX,+403-2341189,73766689,Ali Diop,Carlos Nakamura,+44-590605106,Citibank,"50 Trade Tower, London, Switzerland",CITIGBXX,+165-7744392,40927815,Carlos Nakamura,Michael Johnson,+65-197928400,Ali Diop,Managing Partner,2025-08-20,Signed Electronically,Carlos Nakamura,Export Manager,2025-08-23,Signed Electronically
HSBC,"178 Finance Ave, Singapore, Turkey",HSBCAEXX,+695-1062148,82887723,David Fernandez,John Johnson,+65-238142740,HSBC,"31 Trade Tower, Rotterdam, Japan",HSBCAEXX,+653-9759470,42325695,John Smith,Ravi Garcia,+44-900554778,David Fernandez,Trade Director,2025-07-26,Signed Electronically,John Smith,Managing Director,2025-07-30,Signed Electronically
Deutsche Bank,"176 Finance Ave, Abu Dhabi, Netherlands",DEUTDEXX,+632-4867565,86244104,Linda Garcia,Hassan Petrov,+44-989678689,HSBC,"141 Trade Tower, Hong Kong, Netherlands",HSBCGBXX,+269-1917762,26574766,Hassan Ivanov,Ali Martinez,+971-192830662,Linda Garcia,Procurement Manager,2025-09-04,Signed Electronically,Hassan Ivanov,Sales Director,2025-09-05,Signed Electronically
Singapore Intercontinental Bank,"100 Finance Ave, Tokyo, India",SINGGBXX,+966-4852335,18713060,Omar Costa,Emma Nakamura,+65-842212793,Union Credit Suisse,"43 Trade Tower, Rotterdam, Germany",UNIOAEXX,+831-8060066,31894132,Laura Nakamura,Yuki Brown,+44-491924262,Omar Costa,CEO,2024-11-01,Signed Electronically,Laura Nakamura,Sales Director,2024-11-05,Signed Electronically
Singapore Intercontinental Bank,"65 Finance Ave, Hong Kong, Singapore",SINGDEXX,+936-5700358,95050670,Laura Garcia,Linda Silva,+1-874334046,Emirates National Bank,"12 Trade Tower, Istanbul, Switzerland",EMIRGBXX,+789-6197636,69209293,Sarah Nakamura,Michael Chen,+44-415847705,Laura Garcia,Procurement Manager,2025-01-22,Signed Electronically,Sarah Nakamura,Export Manager,2025-01-26,Signed Electronically
EuroCommerce Bank AG,"127 Finance Ave, Hong Kong, India",EUROGBXX,+472-2044159,38583680,George Costa,Emma Williams,+971-985890717,BNP Paribas,"176 Trade Tower, Dubai, USA",BNPUSXX,+714-9741823,45391804,Yuki Nakamura,Nadia Garcia,+44-938500980,George Costa,CEO,2024-10-30,Signed Electronically,Yuki Nakamura,Managing Director,2024-11-04,Signed Electronically
Union Credit Suisse,"147 Finance Ave, Abu Dhabi, Switzerland",UNIOSGXX,+982-8709965,88958213,Michael Martinez,Maria Smith,+65-717550699,Citibank,"65 Trade Tower, Geneva, India",CITISGXX,+503-5896924,81751539,Sophia Fernandez,Hassan Khan,+971-792159847,Michael Martinez,Managing Partner,2025-09-18,Signed Electronically,Sophia Fernandez,Sales Director,2025-09-21,Signed Electronically
EuroCommerce Bank AG,"13 Finance Ave, Doha, India",EUROGBXX,+124-7086814,34335575,George Costa,Linda Chen,+65-562296334,BNP Paribas,"25 Trade Tower, Singapore, India",BNPSGXX,+405-6695131,50374788,David Martinez,John Muller,+971-194783470,George Costa,Trade Director,2025-06-24,Signed Electronically,David Martinez,Sales Director,2025-06-25,Signed Electronically
First Global Bank & Trust,"65 Finance Ave, Hamburg, UK",FIRSGBXX,+381-9627694,90144443,Michael Nakamura,Carlos Williams,+1-864006759,BNP Paribas,"159 Trade Tower, New York, USA",BNPDEXX,+399-4661752,13450722,Omar Khan,Sarah Garcia,+65-623377737,Michael Nakamura,Managing Partner,2025-10-16,Signed Electronically,Omar Khan,Managing Director,2025-10-18,Signed Electronically
Standard Chartered,"180 Finance Ave, Abu Dhabi, Switzerland",STANDEXX,+875-6469087,41102257,Linda Chen,Sophia Martinez,+1-266486015,Deutsche Bank,"47 Trade Tower, London, Egypt",DEUTUSXX,+528-9938587,34491791,Maria Garcia,Carlos Muller,+971-241058311,Linda Chen,Procurement Manager,2025-08-07,Signed Electronically,Maria Garcia,Managing Director,2025-08-12,Signed Electronically
BNP Paribas,"139 Finance Ave, New York, Turkey",BNPUSXX,+975-1860262,41124018,Sarah Haddad,John Ivanov,+971-587625030,Citibank,"161 Trade Tower, Tokyo, China",CITIDEXX,+656-2780112,44794276,Omar Fernandez,Ahmed Smith,+44-567988170,Sarah Haddad,CEO,2025-06-29,Signed Electronically,Omar Fernandez,Sales Director,2025-07-02,Signed Electronically
BNP Paribas,"117 Finance Ave, Mumbai, UK",BNPAEXX,+450-5590742,35053773,James Diop,Nadia Costa,+65-719847793,Citibank,"125 Trade Tower, Hamburg, Germany",CITIAEXX,+691-8218505,23111092,Yuki Williams,Laura Smith,+1-106574824,James Diop,Procurement Manager,2025-01-20,Signed Electronically,Yuki Williams,Sales Director,2025-01-24,Signed Electronically
Emirates National Bank,"100 Finance Ave, Istanbul, Turkey",EMIRAEXX,+692-4106268,20445384,Ahmed Smith,Yuki Martinez,+1-826957024,Standard Chartered,"122 Trade Tower, Dubai, Turkey",STANAEXX,+118-2586224,15794412,Michael Smith,Ravi Martinez,+1-598777427,Ahmed Smith,Procurement Manager,2025-04-08,Signed Electronically,Michael Smith,Sales Director,2025-04-12,Signed Electronically
Emirates National Bank,"79 Finance Ave, Hamburg, Turkey",EMIRSGXX,+152-6745433,28681220,George Williams,David Khan,+44-444386054,BNP Paribas,"32 Trade Tower, Geneva, USA",BNPDEXX,+764-6452696,56260557,David Williams,Carlos Muller,+65-853825494,George Williams,Procurement Manager,2025-06-24,Signed Electronically,David Williams,Sales Director,2025-06-25,Signed Electronically
First Global Bank & Trust,"83 Finance Ave, Istanbul, India",FIRSAEXX,+245-8090014,11601488,Fatima Muller,Nadia Silva,+44-755075388,Singapore Intercontinental Bank,"12 Trade Tower, Rotterdam, Turkey",SINGGBXX,+512-3823020,72698780,Fatima Fernandez,Yuki Muller,+1-931805203,Fatima Muller,Trade Director,2025-05-06,Signed Electronically,Fatima Fernandez,Managing Director,2025-05-07,Signed Electronically
Emirates National Bank,"15 Finance Ave, London, Germany",EMIRDEXX,+154-1191321,25056070,Sophia Silva,James Muller,+65-293931264,BNP Paribas,"120 Trade Tower, Rotterdam, Japan",BNPUSXX,+983-4217100,27933919,Sophia Petrov,Yuki Smith,+44-706708086,Sophia Silva,Procurement Manager,2025-02-11,Signed Electronically,Sophia Petrov,Export Manager,2025-02-12,Signed Electronically
HSBC,"23 Finance Ave, New York, Egypt",HSBCGBXX,+499-8073250,95157156,Sophia Ibrahim,Fatima Ibrahim,+65-443583792,HSBC,"56 Trade Tower, Doha, Netherlands",HSBCGBXX,+498-5797133,89458824,Carlos Smith,James Ivanov,+971-165928367,Sophia Ibrahim,Procurement Manager,2025-06-04,Signed Electronically,Carlos Smith,Managing Director,2025-06-06,Signed Electronically
Standard Chartered,"114 Finance Ave, Rotterdam, USA",STANGBXX,+898-8175978,43984954,Omar Ivanov,Nadia Singh,+44-636701667,Standard Chartered,"111 Trade Tower, New York, UK",STANAEXX,+521-2119119,57896511,James Chen,Sophia Ibrahim,+65-878857184,Omar Ivanov,Trade Director,2024-11-17,Signed Electronically,James Chen,Sales Director,2024-11-19,Signed Electronically
Standard Chartered,"170 Finance Ave, Doha, UK",STANSGXX,+723-6281120,92131281,Sarah Costa,Fatima Lee,+65-437161627,Union Credit Suisse,"96 Trade Tower, Geneva, Germany",UNIOAEXX,+415-3595367,72752730,Carlos Petrov,Ravi Haddad,+65-250829152,Sarah Costa,Managing Partner,2024-12-15,Signed Electronically,Carlos Petrov,Managing Director,2024-12-20,Signed Electronically
Emirates National Bank,"39 Finance Ave, Tokyo, Switzerland",EMIRGBXX,+101-1988894,71128170,Emma Diop,Ali Lee,+44-388101497,Deutsche Bank,"114 Trade Tower, Cairo, Switzerland",DEUTDEXX,+295-4182258,65903230,George Martinez,Hassan Khan,+971-606940467,Emma Diop,Managing Partner,2025-09-15,Signed Electronically,George Martinez,Managing Director,2025-09-19,Signed Electronically
Standard Chartered,"174 Finance Ave, Hong Kong, USA",STANAEXX,+526-1033056,48790567,Carlos Silva,Ravi Ibrahim,+971-612037375,EuroCommerce Bank AG,"137 Trade Tower, Tokyo, Switzerland",EUROAEXX,+563-9021122,38633550,Nadia Ivanov,Omar Chen,+1-219662383,Carlos Silva,CEO,2024-11-07,Signed Electronically,Nadia Ivanov,Sales Director,2024-11-12,Signed Electronically
Citibank,"148 Finance Ave, Abu Dhabi, Japan",CITIAEXX,+368-4160046,99591010,Laura Ibrahim,David Williams,+1-493251001,Emirates National Bank,"114 Trade Tower, London, UAE",EMIRGBXX,+621-8067730,27269938,Carlos Petrov,Maria Brown,+44-934277602,Laura Ibrahim,CEO,2025-07-17,Signed Electronically,Carlos Petrov,Sales Director,2025-07-18,Signed Electronically
